row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
7,Revenue Growth,Year-over-year % increase in revenue for each forecast year.,Yellow POLICY input: 27% / 16% / 13% / 10% / 7%.,Y1 ≈ company FY2026 revenue guidance (~$2.53B / FY25 $1.991B − 1 ≈ 27%). Then fade toward terminal g=3% (not straight-lined). This is the main forward-looking judgment; it drives Rev → GP → EBT → Net Earnings → CF.,SEC EX-99.1 Q3 FY2026 — updated FY2026 revenue guidance $2.53B,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
8,COGS % of Revenue,Cost of revenues as a % of sales (gross margin = 1 − this).,"Excel: MAX(10%, segment blended COGS base≈17.60% − 40bps × year).",MODEL12 Yacktman: Pricing power: blended COGS% grinds −40 bps/yr from segment GM base (B2B Scores price/volume mix); SG&A grinds −100 bps/yr toward a 15% floor. FY25 10-K: Scores revenue +$249M YoY 'primarily attributable to a higher unit price'. Mix % offset within Total Revenue (not a second revenue stack).,SEC 10-K FY2025 — Scores +$249M YoY 'primarily attributable to a higher unit price',https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
9,SG&A % of Revenue,Operating opex (SG&A) as % of sales.,"Equation: MAX(15%, (I28 − 10,922)/I24 − 100bps × year). Strips FY25 restructuring; then −1.00% of sales each year.","MODEL12 Yacktman: faster opex leverage (−100 bps/yr, floor 15%) as Scores pricing power and SaaS scale drop incremental dollars below the line.",SEC 10-K FY2025 — SG&A + Scores pricing commentary,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
10,R&D % of Revenue,"Research & development expense as % of sales (IS label: R&D, not Rent).",Excel equation: I29/I24 held flat (~9.46%).,FICO reinvests steadily in analytics/software. Flat % grows dollars with revenue.,SEC 10-K FY2025 — Research and development,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
11,D&A % of Revenue,Total depreciation & amortization as % of sales (software-industry driver).,Yellow POLICY input: flat 0.84% (3yr FY23–25 avg TOTAL D&A). Forecast DA$ = Revenue × DA%; CF row 63 adds it back once.,MODEL12: CFO/FCFF add back TOTAL D&A at ≈ 0.84% of Revenue (3yr avg DepreciationDepletionAndAmortization / Rev). That XBRL total already includes AmortizationOfIntangibleAssets — intangibles amortization is fully added back once (no separate second add-back).,SEC companyfacts — DepreciationDepletionAndAmortization (+ AmortizationOfIntangibleAssets),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
12,Interest % of Debt Open,Interest expense as % of opening debt balance.,Excel equation: I101/I98 (FY25 interest ÷ FY25 opening debt in schedule).,Approximates average coupon / cost of debt on the book. Debt stock follows the net debt issuance assumption (row 19).,SEC 10-K FY2025 — Interest expense; see also 8-K 6.250% notes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
13,Book Tax Rate (% of EBT),Effective book tax rate applied to forecast EBT → Net Income.,Excel equation: I35/I33 (FY25 tax ÷ simplified FY25 EBT in this template).,"Book rate (~19%) remains on the income statement. DCF unlevered cash taxes use a separate cash tax rate (22.87% = 3yr IncomeTaxesPaidNet/EBT). DCF unlevered cash taxes use the 3yr average cash tax rate (IncomeTaxesPaidNet ÷ EBT ≈ 22.87%), not the book effective tax rate. The 3-statement income statement still applies book tax for NI.",SEC 10-K FY2025 — tax expense; cash taxes from IncomeTaxesPaidNet,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
15,DSO — Accounts Receivable (Days),Days Sales Outstanding. AR = Revenue × DSO / 365.,"Excel equation: ROUND($J$115,1) = blended segment DSO ≈ 31.9 days (SaaS 45d / B2C 2d / B2B 30d / PS 15d / On-prem 45d × FY25 mix).","MODEL12: Working Capital uses segment cash-conversion DSOs blended by FY2025 10-K revenue mix (SaaS, on-prem software, B2C myFICO, B2B Scores, Professional services). NWC = AR + Inventory − AP − Deferred Revenue (output); ΔNWC = NWCt − NWCt−1. Rising Deferred (SaaS mix shift) is a cash SOURCE in CFO because it reduces NWC. Mix % offset within Total Revenue — no second revenue stack. FY2025 10-K disaggregation ($000s): B2B Scores 948,595; B2C myFICO 219,980; SaaS software 419,720; on-premises software 320,425; Professional services 82,149 (sum = Total revenues 1,990,869). FICO Platform ARR was $263.6M (35% of software ARR) at 9/30/2025 — ARR is a KPI, not an incremental IS line. MODEL12 shifts +150 bps/yr from on-prem mix into SaaS to reflect the cloud transition (drives Deferred Revenue growth and CFO WC cash). AR is organic from blended collections days — no top-down NWC% AR plug. Deferred Revenue is a BS liability in Total Liabilities and in NWC (= AR+Inv−AP−Deferred). Forecast Deferred = Total Rev × (SaaS%+OnPrem%) × (FY25 Deferred ÷ FY25 software Rev). As SaaS% rises, Deferred rises faster than revenue → negative ΔNWC → positive CFO. Scores/myFICO are NOT added into Deferred (no double count). Hist Deferred/Rev rose 8.0%→9.4% (FY21–25).",SEC 10-K FY2025 — Note 9 disaggregated revenue; payment terms 30–60 days,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
16,Inventory (Days),Inventory days (Inv = COGS × days/365).,Hard zero — FICO is software / scores; inventory is immaterial.,No inventory cycle to fund.,SEC 10-K FY2025 — Inventory ≈ $0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
17,DPO — Accounts Payable (Days),Days Payable Outstanding. AP = COGS × DPO / 365.,"Excel equation: ROUND(I48/I25×365, 0) from FY25; held flat.",MODEL12: DPO is an explicit WC driver paired with DSO. NWC = AR + Inventory − AP − Deferred (output); ΔNWC = NWCt − NWCt−1.,SEC 10-K FY2025 — Accounts payable,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
