row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
7,Revenue Growth,Year-over-year % increase in revenue for each forecast year.,Yellow POLICY input: 27% / 16% / 13% / 10% / 7%.,Y1 ≈ company FY2026 revenue guidance (~$2.53B / FY25 $1.991B − 1 ≈ 27%). Then fade toward terminal g=3% (not straight-lined). This is the main forward-looking judgment; it drives Rev → GP → EBT → Net Earnings → CF.,SEC EX-99.1 Q3 FY2026 — updated FY2026 revenue guidance $2.53B,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
8,COGS % of Revenue,Cost of revenues as a % of sales (gross margin = 1 − this).,"Excel: MAX(10%, segment blended COGS base≈17.60% − 75bps × year).",MODEL13 Yacktman: Pricing power: blended COGS% grinds −75 bps/yr from segment GM base; SG&A grinds −125 bps/yr toward a 15% floor. B2B Scores unit-price increases have near-100% incremental gross margin (little variable COGS) — MODEL12's linear −40/−100 bps understated that cash conversion. FY25 10-K: Scores revenue +$249M YoY 'primarily attributable to a higher unit price'. Mix % offset within Total Revenue (not a second revenue stack).,SEC 10-K FY2025 — Scores +$249M YoY 'primarily attributable to a higher unit price',https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
9,SG&A % of Revenue,Operating opex (SG&A) as % of sales.,"Equation: MAX(15%, (I28 − 10,922)/I24 − 125bps × year). Strips FY25 restructuring; then −1.25% of sales each year.","MODEL13 Yacktman: faster opex leverage (−125 bps/yr, floor 15%) as Scores near-100% incremental margins and SaaS scale drop incremental dollars below the line (MODEL12 used −100 bps).",SEC 10-K FY2025 — SG&A + Scores pricing commentary,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
10,R&D % of Revenue,"Research & development expense as % of sales (IS label: R&D, not Rent).",Excel equation: I29/I24 held flat (~9.46%).,FICO reinvests steadily in analytics/software. Flat % grows dollars with revenue.,SEC 10-K FY2025 — Research and development,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
11,D&A % of Revenue,Total depreciation & amortization as % of sales (software-industry driver).,Yellow POLICY input: flat 0.84% (3yr FY23–25 avg TOTAL D&A). Forecast DA$ = Revenue × DA%; CF row 63 adds it back once.,MODEL13: CFO/FCFF add back TOTAL D&A at ≈ 0.84% of Revenue (3yr avg DepreciationDepletionAndAmortization / Rev). That XBRL total already includes AmortizationOfIntangibleAssets — intangibles amortization is fully added back once (no separate second add-back).,SEC companyfacts — DepreciationDepletionAndAmortization (+ AmortizationOfIntangibleAssets),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
12,Interest % of Debt Open,Interest expense as % of opening debt balance.,Excel equation: I101/I98 (FY25 interest ÷ FY25 opening debt in schedule).,Approximates average coupon / cost of debt on the book. Debt stock follows the net debt issuance assumption (row 19).,SEC 10-K FY2025 — Interest expense; see also 8-K 6.250% notes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
13,Book Tax Rate (% of EBT),Effective book tax rate applied to forecast EBT → Net Income.,Excel equation: I35/I33 (FY25 tax ÷ simplified FY25 EBT in this template).,"Book rate (~19%) remains on the income statement. DCF unlevered cash taxes use a separate cash tax rate (22.87% = 3yr IncomeTaxesPaidNet/EBT). DCF unlevered cash taxes use the 3yr average cash tax rate (IncomeTaxesPaidNet ÷ EBT ≈ 22.87%), not the book effective tax rate. The 3-statement income statement still applies book tax for NI.",SEC 10-K FY2025 — tax expense; cash taxes from IncomeTaxesPaidNet,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
15,DSO — Accounts Receivable (Days),Days Sales Outstanding. AR = Revenue × DSO / 365.,Yellow POLICY path: phases 97d (FY25 hist) → 45d over 5 years (Y1≈86.6d … Y5=45d). Segment blend ref ≈ 31.9d on schedule row 115 (SaaS 45/B2C 2/B2B 30/PS 15/On-prem 45).,"MODEL13 fix vs MODEL12 (6/10): removes the punitive one-year AR cliff (hist ~97d → ~32d). MODEL13 splits working capital for cash-flow clarity (no double count): Operating NWC = AR + Inventory − AP (excludes Deferred). Δ Op NWC uses cash when AR/AP/Inv rise. Separately, Increase in Deferred Revenue is an explicit positive CFO / FCFF line (SaaS & maintenance billed upfront). DSO phases from FY25 hist ≈ 97 days → policy target 45 days over 5 years (removes MODEL12's punitive AR cliff). AR changes never absorb Deferred billings. Deferred Revenue is a BS liability in Total Liabilities (AP + Debt + Deferred). It is NOT netted inside Op NWC for CFO. Forecast Deferred = Total Rev × (SaaS%+OnPrem%) × (FY25 Deferred ÷ FY25 software Rev). FY25 current deferred ≈ $187.4M (10-K). Q1 FY2026 10-Q shows deferred roll-forward and notes maintenance/SaaS billed annually in advance (https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm). Increase in Deferred = Def_t − Def_t−1 is added in CFO and FCFF. Scores/myFICO usage fees are NOT forced into Deferred (no double count with AR).",SEC 10-K FY2025 — AR; payment terms 30–60 days; Q1 FY2026 deferred detail,https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
16,Inventory (Days),Inventory days (Inv = COGS × days/365).,Hard zero — FICO is software / scores; inventory is immaterial.,No inventory cycle to fund.,SEC 10-K FY2025 — Inventory ≈ $0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
17,DPO — Accounts Payable (Days),Days Payable Outstanding. AP = COGS × DPO / 365.,"Excel equation: ROUND(I48/I25×365, 0) from FY25; held flat.",MODEL13: DPO pairs with phased DSO for Op NWC = AR+Inv−AP. Deferred is a SEPARATE CFO cash source (row 81) — never mixed into AR/DPO.,SEC 10-K FY2025 — Accounts payable,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
18,CapEx % of Revenue,Capital investment (PPE + capitalized software) as % of sales.,Yellow POLICY path: 1.25% / 1.05% / 0.90% / 0.75% / 0.60% (fade with operating leverage).,MODEL13 Yacktman: CapEx % of Revenue fades with operating leverage: 1.25% → 1.05% → 0.90% → 0.75% → 0.60%. FY1 starts near the 3yr hist avg of (PPE + capitalized software)/Rev; Y5 approaches asset-light maintenance intensity as Scores/SaaS mix dominates.,SEC 10-K / companyfacts — PPE purchases + capitalized software; fade to maintenance,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
19,Debt Issuance (Repayment),New borrowing (+) or repayment (−) in the forecast ($000s).,"Yellow POLICY input: -290,917 each year (3yr avg senior-note proceeds − line-of-credit repayments).",MODEL13: Debt CF uses the 3yr avg net debt cash flow (≈ −$291M/yr). Equity buybacks distribute residual levered FCF so cash does not stockpile. 10-K CF buybacks: FY23 $406M / FY24 $822M / FY25 $1415M (avg ≈ $881M). June 2025 authorization: $1.0B program. Accretive buyback engine: robust FCFF → residual equity CF → lower forward share count in $/share. Financing is excluded from FCFF.,SEC companyfacts — ProceedsFromIssuanceOfSeniorLongTermDebt / RepaymentsOfLinesOfCredit,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
20,Equity Issued (Repaid),New equity issued (+) or buybacks (−) in the forecast BS/CF.,Equation: −(CFO − CapEx) − DebtIssuance so residual levered FCF funds buybacks (hist 3yr avg buybacks ≈ $881M/yr).,"Restores financing realism so cash does not artificially stockpile. Buybacks are financing — excluded from FCFF. DCF share count FALLS with this buyback outflow. Starting shares = 23,764k (FYE Sep 30, 2025 outstanding). Each forecast year: Shares_t = Shares_t−1 + EquityIssuanceCF_t / Price. EquityIssuanceCF is the buyback outflow (negative) from 3S row 20 — so repurchases REDUCE the share count. SBC is added back in FCFF but does NOT increase shares (avoids double penalty). $/share uses Year-5 buyback-adjusted shares.",SEC 10-K FY2025 — Repurchases of common stock ($1.415B); June 2025 $1B authorization,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
