row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
7,Revenue Growth,Year-over-year % increase in revenue for each forecast year.,Yellow POLICY input: 27% / 16% / 13% / 10% / 7%.,Y1 ≈ company FY2026 revenue guidance (~$2.53B / FY25 $1.991B − 1 ≈ 27%). Then fade toward terminal g=3% (not straight-lined). This is the main forward-looking judgment; it drives Rev → GP → EBT → Net Earnings → CF.,SEC EX-99.1 Q3 FY2026 — updated FY2026 revenue guidance $2.53B,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
8,COGS % of Revenue,Cost of revenues as a % of sales (gross margin = 1 − this).,Excel equation: I25/I24 (FY25 COGS ÷ FY25 Revenue) held flat.,Locks in latest reported cost structure (~17.8%). Scores mix is high-margin; holding FY25 is conservative vs further mix shift.,SEC 10-K FY2025 — Cost of revenues / Total revenues,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
9,SG&A % of Revenue,Operating opex (SG&A) as % of sales.,"Equation: MAX(15%, (I28 − 10,922)/I24 − 75bps × year). Strips FY25 restructuring; then −0.75% of sales each year.",MODEL9: restore software operating leverage. Floor 15%; grind −75 bps/yr so SG&A can scale toward mid-teens as revenue expands (not stuck ~24–25%).,SEC 10-K FY2025 — SG&A + restructuring note,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
10,R&D % of Revenue,"Research & development expense as % of sales (IS label: R&D, not Rent).",Excel equation: I29/I24 held flat (~9.46%).,FICO reinvests steadily in analytics/software. Flat % grows dollars with revenue.,SEC 10-K FY2025 — Research and development,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
11,D&A % of PPE,Depreciation rate from FY25; dollars = (Opening PPE + CapEx/2) × DA%.,Rate = I30/I44 (FY25 DA ÷ FY25 PPE). Forecast DA$ = (Open + CapEx/2) × rate.,"MODEL9: Depreciation uses (Opening PPE + CapEx/2) × DA%, the non-circular form of average net PP&E depreciation (equivalent to mid-year CapEx convention). Half of current CapEx is treated as in service for the year (mid-year convention) without a circular closing-PPE loop.",SEC 10-K FY2025 — D&A and PP&E,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
12,Interest % of Debt Open,Interest expense as % of opening debt balance.,Excel equation: I101/I98 (FY25 interest ÷ FY25 opening debt in schedule).,"Approximates average coupon / cost of debt on the book. Debt held flat (issuance = 0), so interest stays linked to that stock.",SEC 10-K FY2025 — Interest expense; see also 8-K 6.250% notes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
13,Tax Rate (% of EBT),Effective book tax rate applied to forecast EBT.,Excel equation: I35/I33 (FY25 tax ÷ simplified FY25 EBT in this template).,Uses reported effective rate (~19% on template EBT; ~18.8% on 10-K EBT). UFCF in DCF also uses unlevered EBIT × t.,SEC 10-K FY2025 — Provision for income taxes / Income before taxes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
15,DSO — Accounts Receivable (Days),Days Sales Outstanding. AR = Revenue × DSO / 365.,"Excel equation: ROUND(I42/I24×365, 0) from FY25; held flat each forecast year.",MODEL9: Working Capital forecasting has been transitioned from a top-down NWC % of sales methodology to a bottom-up approach using DSO and DPO historical drivers to eliminate artificial cash flow distortions. Row 15 is DSO again (not NWC%). AR is organic from collections days — no top-down NWC% AR plug.,SEC companyfacts XBRL — AccountsReceivable / Revenue,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
16,Inventory (Days),Inventory days (Inv = COGS × days/365).,Hard zero — FICO is software / scores; inventory is immaterial.,No inventory cycle to fund.,SEC 10-K FY2025 — Inventory ≈ $0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
17,DPO — Accounts Payable (Days),Days Payable Outstanding. AP = COGS × DPO / 365.,"Excel equation: ROUND(I48/I25×365, 0) from FY25; held flat.",MODEL9: DPO is an explicit WC driver paired with DSO. NWC = AR + Inventory − AP − Deferred (output); ΔNWC = NWCt − NWCt−1.,SEC 10-K FY2025 — Accounts payable,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel9-d3ac/FICO/output/MODEL9_FICO_ASSUMPTIONS_LIST.pdf
