row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
7,Revenue Growth,Year-over-year % increase in revenue for each forecast year.,Yellow POLICY input: 30.0% / 18.0% / 14.5% / 11.0% / 8.5%.,Updated revenue growth from Model16 (Previous: 27%/16%/13%/10%/7%) to Model17 (New: 30%/18%/14.5%/11%/8.5%) — Q3 Scores +41% / B2B +49% mortgage unit price (https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm); royalty $4.95→$10.00. Terminal g 3.0%→3.5%.,SEC EX-99.1 Q3 FY2026 — Scores +41% / B2B +49%; FY2026 guidance,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
8,COGS % of Revenue,Cost of revenues as a % of sales (gross margin = 1 − this).,"Excel: MAX(8%, segment blended COGS base≈12.98% − 120bps × year).","MODEL17 Yacktman: Updated margins from Model16 (Previous: COGS −75 / SG&A −125 / R&D flat, COGS floor 10%) to Model17 (New: COGS −120 / SG&A −175 / R&D −50; floor 8%; GM_B2B 97%). Mortgage royalty $4.95→$10.00. Mix % offset within Total Revenue (not a second revenue stack).",SEC 10-K FY2025 — Scores +$249M YoY 'primarily attributable to a higher unit price',https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
9,SG&A % of Revenue,Operating opex (SG&A) as % of sales.,"Equation: MAX(14%, (I28 − 10,922)/I24 − 175bps × year). Strips FY25 restructuring; then −1.75% of sales each year.","Updated SG&A from Model16 (Previous: −125 bps, floor 15%) to Model17 (New: −175 bps/yr, floor 14%) — Scores near-100% incremental margins drop dollars below the line.",SEC 10-K FY2025 — SG&A + Scores pricing commentary,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
10,R&D % of Revenue,"Research & development expense as % of sales (IS label: R&D, not Rent).","Excel: MAX(7%, I29/I24 − 50bps × year).","Updated R&D from Model16 (Previous: flat ~9.5%) to Model17 (New: −50 bps/yr, floor 7%) — royalty price dollars do not require 1:1 R&D reinvestment.",SEC 10-K FY2025 — Research and development,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
11,D&A % of Revenue,Total depreciation & amortization as % of sales (software-industry driver).,Yellow POLICY input: flat 0.84% (3yr FY23–25 avg TOTAL D&A). Forecast DA$ = Revenue × DA%; CF row 63 adds it back once.,MODEL17: TOTAL D&A ≈ 0.84% of Rev. SBC is a SEPARATE add-back — no double-count.,SEC companyfacts — DepreciationDepletionAndAmortization (+ AmortizationOfIntangibleAssets),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
12,Interest % of Debt Open,Interest expense as % of opening debt balance.,Excel equation: I101/I98 (FY25 interest ÷ FY25 opening debt in schedule).,Approximates average coupon / cost of debt on the book. Debt stock follows the net debt issuance assumption (row 19).,SEC 10-K FY2025 — Interest expense; see also 8-K 6.250% notes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
13,Book Tax Rate (% of EBT),Effective book tax rate applied to forecast EBT → Net Income.,Excel equation: I35/I33 (FY25 tax ÷ simplified FY25 EBT in this template).,Book rate (~19%) remains on the income statement. DCF unlevered cash taxes use a separate cash tax rate (22.87% = 3yr IncomeTaxesPaidNet/EBT). Keep cash tax 22.87% (3yr IncomeTaxesPaidNet/EBT). Book ETR ~18.8% used in CAPM Rd(1−T).,SEC 10-K FY2025 — tax expense; cash taxes from IncomeTaxesPaidNet,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
15,DSO — Accounts Receivable (Days),Days Sales Outstanding. AR = Revenue × DSO / 365.,Yellow POLICY path: phases 97d (FY25 hist) → 28d over 5 years (Y1≈83.2d … Y5=28d). Segment blend ref ≈ 27.5d on schedule row 115 (SaaS 40/B2C 2/B2B 25/PS 12/On-prem 40).,DSO path unchanged vs Model16 (97→28d). DSO path unchanged vs Model16 (97→28d). Op NWC = AR+Inv−AP ONLY. +ΔDeferred is a SEPARATE CFO/FCFF source. No AR/unearned double-count. Source: https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm. Deferred = Rev × (SaaS%+OnPrem%) × (FY25 Def/FY25 soft Rev); +ΔDeferred in CFO row 81. FY25 deferred ≈ $187.4M. Detail: https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm.,SEC 10-K FY2025 — AR; Q1 FY2026 deferred detail (R45),https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
16,Inventory (Days),Inventory days (Inv = COGS × days/365).,Hard zero — FICO is software / scores; inventory is immaterial.,No inventory cycle to fund.,SEC 10-K FY2025 — Inventory ≈ $0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
17,DPO — Accounts Payable (Days),Days Payable Outstanding. AP = COGS × DPO / 365.,"Excel equation: ROUND(I48/I25×365, 0) from FY25; held flat.",MODEL17: DPO pairs with phased DSO for Op NWC = AR+Inv−AP. Deferred is a SEPARATE CFO cash source (row 81) — never mixed into AR/DPO.,SEC 10-K FY2025 — Accounts payable,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
